home_team,away_team,home_goals,away_goals,result,season
West Bromwich Albion,Reading,1.0,0.0,H,2012-2013
West Ham United,Sunderland,1.0,1.0,D,2012-2013
Wigan Athletic,Fulham,1.0,2.0,A,2012-2013
Liverpool,Manchester United,1.0,2.0,A,2012-2013
Newcastle United,Norwich City,1.0,0.0,H,2012-2013
Manchester City,Arsenal,1.0,1.0,D,2012-2013
Tottenham Hotspur,Queens Park Rangers,2.0,1.0,H,2012-2013
Arsenal,Chelsea,1.0,2.0,A,2012-2013
Everton,Southampton,3.0,1.0,H,2012-2013
Fulham,Manchester City,1.0,2.0,A,2012-2013
Norwich City,Liverpool,2.0,5.0,A,2012-2013
Reading,Newcastle United,2.0,2.0,D,2012-2013
Stoke City,Swansea City,2.0,0.0,H,2012-2013
Sunderland,Wigan Athletic,1.0,0.0,H,2012-2013
Manchester United,Tottenham Hotspur,2.0,3.0,A,2012-2013
Aston Villa,West Bromwich Albion,1.0,1.0,D,2012-2013
Queens Park Rangers,West Ham United,1.0,2.0,A,2012-2013
Manchester City,Sunderland,3.0,0.0,H,2012-2013
Chelsea,Norwich City,4.0,1.0,H,2012-2013
Swansea City,Reading,2.0,2.0,D,2012-2013
West Bromwich Albion,Queens Park Rangers,3.0,2.0,H,2012-2013
Wigan Athletic,Everton,2.0,2.0,D,2012-2013
West Ham United,Arsenal,1.0,3.0,A,2012-2013
Southampton,Fulham,2.0,2.0,D,2012-2013
Liverpool,Stoke City,0.0,0.0,D,2012-2013
Tottenham Hotspur,Aston Villa,2.0,0.0,H,2012-2013
Newcastle United,Manchester United,0.0,3.0,A,2012-2013
Tottenham Hotspur,Chelsea,2.0,4.0,A,2012-2013
Fulham,Aston Villa,1.0,0.0,H,2012-2013
Liverpool,Reading,1.0,0.0,H,2012-2013
Manchester United,Stoke City,4.0,2.0,H,2012-2013
Swansea City,Wigan Athletic,2.0,1.0,H,2012-2013
West Bromwich Albion,Manchester City,1.0,2.0,A,2012-2013
West Ham United,Southampton,4.0,1.0,H,2012-2013
Norwich City,Arsenal,1.0,0.0,H,2012-2013
Sunderland,Newcastle United,1.0,1.0,D,2012-2013
Queens Park Rangers,Everton,1.0,1.0,D,2012-2013
Aston Villa,Norwich City,1.0,1.0,D,2012-2013
Arsenal,Queens Park Rangers,1.0,0.0,H,2012-2013
Reading,Fulham,3.0,3.0,D,2012-2013
Stoke City,Sunderland,0.0,0.0,D,2012-2013
Wigan Athletic,West Ham United,2.0,1.0,H,2012-2013
Manchester City,Swansea City,1.0,0.0,H,2012-2013
Everton,Liverpool,2.0,2.0,D,2012-2013
Newcastle United,West Bromwich Albion,2.0,1.0,H,2012-2013
Southampton,Tottenham Hotspur,1.0,2.0,A,2012-2013
Chelsea,Manchester United,2.0,3.0,A,2012-2013
Manchester United,Arsenal,2.0,1.0,H,2012-2013
Fulham,Everton,2.0,2.0,D,2012-2013
Norwich City,Stoke City,1.0,0.0,H,2012-2013
Sunderland,Aston Villa,0.0,1.0,A,2012-2013
Swansea City,Chelsea,1.0,1.0,D,2012-2013
Tottenham Hotspur,Wigan Athletic,0.0,1.0,A,2012-2013
West Ham United,Manchester City,0.0,0.0,D,2012-2013
Queens Park Rangers,Reading,1.0,1.0,D,2012-2013
Liverpool,Newcastle United,1.0,1.0,D,2012-2013
West Bromwich Albion,Southampton,2.0,0.0,H,2012-2013
Arsenal,Fulham,3.0,3.0,D,2012-2013
Everton,Sunderland,2.0,1.0,H,2012-2013
Reading,Norwich City,0.0,0.0,D,2012-2013
Southampton,Swansea City,1.0,1.0,D,2012-2013
Stoke City,Queens Park Rangers,1.0,0.0,H,2012-2013
Wigan Athletic,West Bromwich Albion,1.0,2.0,A,2012-2013
Aston Villa,Manchester United,2.0,3.0,A,2012-2013
Manchester City,Tottenham Hotspur,2.0,1.0,H,2012-2013
Newcastle United,West Ham United,0.0,1.0,A,2012-2013
Chelsea,Liverpool,1.0,1.0,D,2012-2013
Arsenal,Tottenham Hotspur,5.0,2.0,H,2012-2013
Liverpool,Wigan Athletic,3.0,0.0,H,2012-2013
Manchester City,Aston Villa,5.0,0.0,H,2012-2013
Newcastle United,Swansea City,1.0,2.0,A,2012-2013
Queens Park Rangers,Southampton,1.0,3.0,A,2012-2013
Reading,Everton,2.0,1.0,H,2012-2013
West Bromwich Albion,Chelsea,2.0,1.0,H,2012-2013
Norwich City,Manchester United,1.0,0.0,H,2012-2013
Fulham,Sunderland,1.0,3.0,A,2012-2013
West Ham United,Stoke City,1.0,1.0,D,2012-2013
Sunderland,West Bromwich Albion,2.0,4.0,A,2012-2013
Everton,Norwich City,1.0,1.0,D,2012-2013
Manchester United,Queens Park Rangers,3.0,1.0,H,2012-2013
Stoke City,Fulham,1.0,0.0,H,2012-2013
Wigan Athletic,Reading,3.0,2.0,H,2012-2013
Aston Villa,Arsenal,0.0,0.0,D,2012-2013
Swansea City,Liverpool,0.0,0.0,D,2012-2013
Southampton,Newcastle United,2.0,0.0,H,2012-2013
Chelsea,Manchester City,0.0,0.0,D,2012-2013
Tottenham Hotspur,West Ham United,3.0,1.0,H,2012-2013
Sunderland,Queens Park Rangers,0.0,0.0,D,2012-2013
Aston Villa,Reading,1.0,0.0,H,2012-2013
Chelsea,Fulham,0.0,0.0,D,2012-2013
Everton,Arsenal,1.0,1.0,D,2012-2013
Southampton,Norwich City,1.0,1.0,D,2012-2013
Stoke City,Newcastle United,2.0,1.0,H,2012-2013
Swansea City,West Bromwich Albion,3.0,1.0,H,2012-2013
Tottenham Hotspur,Liverpool,2.0,1.0,H,2012-2013
Manchester United,West Ham United,1.0,0.0,H,2012-2013
Wigan Athletic,Manchester City,0.0,2.0,A,2012-2013
West Ham United,Chelsea,3.0,1.0,H,2012-2013
Arsenal,Swansea City,0.0,2.0,A,2012-2013
Fulham,Tottenham Hotspur,0.0,3.0,A,2012-2013
Liverpool,Southampton,1.0,0.0,H,2012-2013
Manchester City,Everton,1.0,1.0,D,2012-2013
Queens Park Rangers,Aston Villa,1.0,1.0,D,2012-2013
West Bromwich Albion,Stoke City,0.0,1.0,A,2012-2013
Reading,Manchester United,3.0,4.0,A,2012-2013
Norwich City,Sunderland,2.0,1.0,H,2012-2013
Newcastle United,Wigan Athletic,3.0,0.0,H,2012-2013
Arsenal,West Bromwich Albion,2.0,0.0,H,2012-2013
Aston Villa,Stoke City,0.0,0.0,D,2012-2013
Southampton,Reading,1.0,0.0,H,2012-2013
Sunderland,Chelsea,1.0,3.0,A,2012-2013
Swansea City,Norwich City,3.0,4.0,A,2012-2013
Wigan Athletic,Queens Park Rangers,2.0,2.0,D,2012-2013
Manchester City,Manchester United,2.0,3.0,A,2012-2013
Everton,Tottenham Hotspur,2.0,1.0,H,2012-2013
West Ham United,Liverpool,2.0,3.0,A,2012-2013
Fulham,Newcastle United,2.0,1.0,H,2012-2013
Sunderland,Reading,3.0,0.0,H,2012-2013
Newcastle United,Manchester City,1.0,3.0,A,2012-2013
Liverpool,Aston Villa,1.0,3.0,A,2012-2013
Manchester United,Sunderland,3.0,1.0,H,2012-2013
Norwich City,Wigan Athletic,2.0,1.0,H,2012-2013
Queens Park Rangers,Fulham,2.0,1.0,H,2012-2013
Stoke City,Everton,1.0,1.0,D,2012-2013
Tottenham Hotspur,Swansea City,1.0,0.0,H,2012-2013
West Bromwich Albion,West Ham United,0.0,0.0,D,2012-2013
Reading,Arsenal,2.0,5.0,A,2012-2013
Wigan Athletic,Arsenal,0.0,1.0,A,2012-2013
Manchester City,Reading,1.0,0.0,H,2012-2013
Newcastle United,Queens Park Rangers,1.0,0.0,H,2012-2013
Southampton,Sunderland,0.0,1.0,A,2012-2013
Tottenham Hotspur,Stoke City,0.0,0.0,D,2012-2013
West Bromwich Albion,Norwich City,2.0,1.0,H,2012-2013
West Ham United,Everton,1.0,2.0,A,2012-2013
Liverpool,Fulham,4.0,0.0,H,2012-2013
Swansea City,Manchester United,1.0,1.0,D,2012-2013
Chelsea,Aston Villa,8.0,0.0,H,2012-2013
Everton,Wigan Athletic,2.0,1.0,H,2012-2013
Fulham,Southampton,1.0,1.0,D,2012-2013
Manchester United,Newcastle United,4.0,3.0,H,2012-2013
Norwich City,Chelsea,0.0,1.0,A,2012-2013
Queens Park Rangers,West Bromwich Albion,1.0,2.0,A,2012-2013
Reading,Swansea City,0.0,0.0,D,2012-2013
Sunderland,Manchester City,1.0,0.0,H,2012-2013
Aston Villa,Tottenham Hotspur,0.0,4.0,A,2012-2013
Stoke City,Liverpool,3.0,1.0,H,2012-2013
Sunderland,Tottenham Hotspur,1.0,2.0,A,2012-2013
Aston Villa,Wigan Athletic,0.0,3.0,A,2012-2013
Fulham,Swansea City,1.0,2.0,A,2012-2013
Manchester United,West Bromwich Albion,2.0,0.0,H,2012-2013
Norwich City,Manchester City,3.0,4.0,A,2012-2013
Reading,West Ham United,1.0,0.0,H,2012-2013
Stoke City,Southampton,3.0,3.0,D,2012-2013
Arsenal,Newcastle United,7.0,3.0,H,2012-2013
Everton,Chelsea,1.0,2.0,A,2012-2013
Queens Park Rangers,Liverpool,0.0,3.0,A,2012-2013
West Bromwich Albion,Fulham,1.0,2.0,A,2012-2013
Manchester City,Stoke City,3.0,0.0,H,2012-2013
Swansea City,Aston Villa,2.0,2.0,D,2012-2013
Tottenham Hotspur,Reading,3.0,1.0,H,2012-2013
West Ham United,Norwich City,2.0,1.0,H,2012-2013
Wigan Athletic,Manchester United,0.0,4.0,A,2012-2013
Southampton,Arsenal,1.0,1.0,D,2012-2013
Chelsea,Queens Park Rangers,0.0,1.0,A,2012-2013
Liverpool,Sunderland,3.0,0.0,H,2012-2013
Newcastle United,Everton,1.0,2.0,A,2012-2013
Queens Park Rangers,Tottenham Hotspur,0.0,0.0,D,2012-2013
Aston Villa,Southampton,0.0,1.0,A,2012-2013
Everton,Swansea City,0.0,0.0,D,2012-2013
Fulham,Wigan Athletic,1.0,1.0,D,2012-2013
Norwich City,Newcastle United,0.0,0.0,D,2012-2013
Reading,West Bromwich Albion,3.0,2.0,H,2012-2013
Stoke City,Chelsea,0.0,4.0,A,2012-2013
Sunderland,West Ham United,3.0,0.0,H,2012-2013
Manchester United,Liverpool,2.0,1.0,H,2012-2013
Arsenal,Manchester City,0.0,2.0,A,2012-2013
Chelsea,Southampton,2.0,2.0,D,2012-2013
Liverpool,Norwich City,5.0,0.0,H,2012-2013
Manchester City,Fulham,2.0,0.0,H,2012-2013
Newcastle United,Reading,1.0,2.0,A,2012-2013
Swansea City,Stoke City,3.0,1.0,H,2012-2013
West Ham United,Queens Park Rangers,1.0,1.0,D,2012-2013
Wigan Athletic,Sunderland,2.0,3.0,A,2012-2013
West Bromwich Albion,Aston Villa,2.0,2.0,D,2012-2013
Chelsea,Arsenal,2.0,1.0,H,2012-2013
Tottenham Hotspur,Manchester United,1.0,1.0,D,2012-2013
Southampton,Everton,0.0,0.0,D,2012-2013
Arsenal,West Ham United,5.0,1.0,H,2012-2013
Aston Villa,Newcastle United,1.0,2.0,A,2012-2013
Queens Park Rangers,Manchester City,0.0,0.0,D,2012-2013
Stoke City,Wigan Athletic,2.0,2.0,D,2012-2013
Sunderland,Swansea City,0.0,0.0,D,2012-2013
Arsenal,Liverpool,2.0,2.0,D,2012-2013
Everton,West Bromwich Albion,2.0,1.0,H,2012-2013
Norwich City,Tottenham Hotspur,1.0,1.0,D,2012-2013
Fulham,West Ham United,3.0,1.0,H,2012-2013
Manchester United,Southampton,2.0,1.0,H,2012-2013
Reading,Chelsea,2.0,2.0,D,2012-2013
Queens Park Rangers,Norwich City,0.0,0.0,D,2012-2013
Arsenal,Stoke City,1.0,0.0,H,2012-2013
Everton,Aston Villa,3.0,3.0,D,2012-2013
Newcastle United,Chelsea,3.0,2.0,H,2012-2013
Reading,Sunderland,2.0,1.0,H,2012-2013
West Ham United,Swansea City,1.0,0.0,H,2012-2013
Wigan Athletic,Southampton,2.0,2.0,D,2012-2013
Fulham,Manchester United,0.0,1.0,A,2012-2013
West Bromwich Albion,Tottenham Hotspur,0.0,1.0,A,2012-2013
Manchester City,Liverpool,2.0,2.0,D,2012-2013
Tottenham Hotspur,Newcastle United,2.0,1.0,H,2012-2013
Chelsea,Wigan Athletic,4.0,1.0,H,2012-2013
Norwich City,Fulham,0.0,0.0,D,2012-2013
Stoke City,Reading,2.0,1.0,H,2012-2013
Sunderland,Arsenal,0.0,1.0,A,2012-2013
Swansea City,Queens Park Rangers,4.0,1.0,H,2012-2013
Southampton,Manchester City,3.0,1.0,H,2012-2013
Aston Villa,West Ham United,2.0,1.0,H,2012-2013
Manchester United,Everton,2.0,0.0,H,2012-2013
Liverpool,West Bromwich Albion,0.0,2.0,A,2012-2013
Liverpool,Swansea City,5.0,0.0,H,2012-2013
Fulham,Stoke City,1.0,0.0,H,2012-2013
Arsenal,Aston Villa,2.0,1.0,H,2012-2013
Norwich City,Everton,2.0,1.0,H,2012-2013
Queens Park Rangers,Manchester United,0.0,2.0,A,2012-2013
Reading,Wigan Athletic,0.0,3.0,A,2012-2013
West Bromwich Albion,Sunderland,2.0,1.0,H,2012-2013
Manchester City,Chelsea,2.0,0.0,H,2012-2013
Newcastle United,Southampton,4.0,2.0,H,2012-2013
West Ham United,Tottenham Hotspur,2.0,3.0,A,2012-2013
Chelsea,West Bromwich Albion,1.0,0.0,H,2012-2013
Everton,Reading,3.0,1.0,H,2012-2013
Manchester United,Norwich City,4.0,0.0,H,2012-2013
Southampton,Queens Park Rangers,1.0,2.0,A,2012-2013
Stoke City,West Ham United,0.0,1.0,A,2012-2013
Sunderland,Fulham,2.0,2.0,D,2012-2013
Swansea City,Newcastle United,1.0,0.0,H,2012-2013
Wigan Athletic,Liverpool,0.0,4.0,A,2012-2013
Tottenham Hotspur,Arsenal,2.0,1.0,H,2012-2013
Aston Villa,Manchester City,0.0,1.0,A,2012-2013
Norwich City,Southampton,0.0,0.0,D,2012-2013
Queens Park Rangers,Sunderland,3.0,1.0,H,2012-2013
Reading,Aston Villa,1.0,2.0,A,2012-2013
West Bromwich Albion,Swansea City,2.0,1.0,H,2012-2013
Newcastle United,Stoke City,2.0,1.0,H,2012-2013
Liverpool,Tottenham Hotspur,3.0,2.0,H,2012-2013
Everton,Manchester City,2.0,0.0,H,2012-2013
Aston Villa,Queens Park Rangers,3.0,2.0,H,2012-2013
Southampton,Liverpool,3.0,1.0,H,2012-2013
Stoke City,West Bromwich Albion,0.0,0.0,D,2012-2013
Swansea City,Arsenal,0.0,2.0,A,2012-2013
Manchester United,Reading,1.0,0.0,H,2012-2013
Sunderland,Norwich City,1.0,1.0,D,2012-2013
Tottenham Hotspur,Fulham,0.0,1.0,A,2012-2013
Chelsea,West Ham United,2.0,0.0,H,2012-2013
Wigan Athletic,Newcastle United,2.0,1.0,H,2012-2013
Sunderland,Manchester United,0.0,1.0,A,2012-2013
Arsenal,Reading,4.0,1.0,H,2012-2013
Manchester City,Newcastle United,4.0,0.0,H,2012-2013
Southampton,Chelsea,2.0,1.0,H,2012-2013
Swansea City,Tottenham Hotspur,1.0,2.0,A,2012-2013
West Ham United,West Bromwich Albion,3.0,1.0,H,2012-2013
Wigan Athletic,Norwich City,1.0,0.0,H,2012-2013
Everton,Stoke City,1.0,0.0,H,2012-2013
Aston Villa,Liverpool,1.0,2.0,A,2012-2013
Fulham,Queens Park Rangers,3.0,2.0,H,2012-2013
Reading,Southampton,0.0,2.0,A,2012-2013
Norwich City,Swansea City,2.0,2.0,D,2012-2013
Stoke City,Aston Villa,1.0,3.0,A,2012-2013
West Bromwich Albion,Arsenal,1.0,2.0,A,2012-2013
Liverpool,West Ham United,0.0,0.0,D,2012-2013
Tottenham Hotspur,Everton,2.0,2.0,D,2012-2013
Chelsea,Sunderland,2.0,1.0,H,2012-2013
Newcastle United,Fulham,1.0,0.0,H,2012-2013
Queens Park Rangers,Wigan Athletic,1.0,1.0,D,2012-2013
Manchester United,Manchester City,1.0,2.0,A,2012-2013
Arsenal,Norwich City,3.0,1.0,H,2012-2013
Aston Villa,Fulham,1.0,1.0,D,2012-2013
Everton,Queens Park Rangers,2.0,0.0,H,2012-2013
Reading,Liverpool,0.0,0.0,D,2012-2013
Southampton,West Ham United,1.0,1.0,D,2012-2013
Newcastle United,Sunderland,0.0,3.0,A,2012-2013
Stoke City,Manchester United,0.0,2.0,A,2012-2013
Arsenal,Everton,0.0,0.0,D,2012-2013
Manchester City,Wigan Athletic,1.0,0.0,H,2012-2013
West Ham United,Manchester United,2.0,2.0,D,2012-2013
Fulham,Chelsea,0.0,3.0,A,2012-2013
Fulham,Arsenal,0.0,1.0,A,2012-2013
Norwich City,Reading,2.0,1.0,H,2012-2013
Queens Park Rangers,Stoke City,0.0,2.0,A,2012-2013
Sunderland,Everton,1.0,0.0,H,2012-2013
Swansea City,Southampton,0.0,0.0,D,2012-2013
West Bromwich Albion,Newcastle United,1.0,1.0,D,2012-2013
West Ham United,Wigan Athletic,2.0,0.0,H,2012-2013
Tottenham Hotspur,Manchester City,3.0,1.0,H,2012-2013
Liverpool,Chelsea,2.0,2.0,D,2012-2013
Manchester United,Aston Villa,3.0,0.0,H,2012-2013
Manchester City,West Ham United,2.0,1.0,H,2012-2013
Everton,Fulham,1.0,0.0,H,2012-2013
Southampton,West Bromwich Albion,0.0,3.0,A,2012-2013
Stoke City,Norwich City,1.0,0.0,H,2012-2013
Wigan Athletic,Tottenham Hotspur,2.0,2.0,D,2012-2013
Newcastle United,Liverpool,0.0,6.0,A,2012-2013
Reading,Queens Park Rangers,0.0,0.0,D,2012-2013
Chelsea,Swansea City,2.0,0.0,H,2012-2013
Arsenal,Manchester United,1.0,1.0,D,2012-2013
Aston Villa,Sunderland,6.0,1.0,H,2012-2013
Fulham,Reading,2.0,4.0,A,2012-2013
Norwich City,Aston Villa,1.0,2.0,A,2012-2013
Swansea City,Manchester City,0.0,0.0,D,2012-2013
Tottenham Hotspur,Southampton,1.0,0.0,H,2012-2013
West Bromwich Albion,Wigan Athletic,2.0,3.0,A,2012-2013
West Ham United,Newcastle United,0.0,0.0,D,2012-2013
Queens Park Rangers,Arsenal,0.0,1.0,A,2012-2013
Liverpool,Everton,0.0,0.0,D,2012-2013
Manchester United,Chelsea,0.0,1.0,A,2012-2013
Sunderland,Stoke City,1.0,1.0,D,2012-2013
Manchester City,West Bromwich Albion,1.0,0.0,H,2012-2013
Wigan Athletic,Swansea City,2.0,3.0,A,2012-2013
Chelsea,Tottenham Hotspur,2.0,2.0,D,2012-2013
Aston Villa,Chelsea,1.0,2.0,A,2012-2013
Stoke City,Tottenham Hotspur,1.0,2.0,A,2012-2013
Everton,West Ham United,2.0,0.0,H,2012-2013
Fulham,Liverpool,1.0,3.0,A,2012-2013
Norwich City,West Bromwich Albion,4.0,0.0,H,2012-2013
Queens Park Rangers,Newcastle United,1.0,2.0,A,2012-2013
Sunderland,Southampton,1.0,1.0,D,2012-2013
Manchester United,Swansea City,2.0,1.0,H,2012-2013
Arsenal,Wigan Athletic,4.0,1.0,H,2012-2013
Reading,Manchester City,0.0,2.0,A,2012-2013
Chelsea,Everton,2.0,1.0,H,2012-2013
Liverpool,Queens Park Rangers,1.0,0.0,H,2012-2013
Manchester City,Norwich City,2.0,3.0,A,2012-2013
Newcastle United,Arsenal,0.0,1.0,A,2012-2013
Southampton,Stoke City,1.0,1.0,D,2012-2013
Swansea City,Fulham,0.0,3.0,A,2012-2013
Tottenham Hotspur,Sunderland,1.0,0.0,H,2012-2013
West Bromwich Albion,Manchester United,5.0,5.0,D,2012-2013
West Ham United,Reading,4.0,2.0,H,2012-2013
Wigan Athletic,Aston Villa,2.0,2.0,D,2012-2013
Liverpool,Stoke City,1.0,0.0,H,2013-2014
Arsenal,Aston Villa,1.0,3.0,A,2013-2014
Norwich City,Everton,2.0,2.0,D,2013-2014
Sunderland,Fulham,0.0,1.0,A,2013-2014
West Bromwich Albion,Southampton,0.0,1.0,A,2013-2014
West Ham United,Cardiff City,2.0,0.0,H,2013-2014
Swansea City,Manchester United,1.0,4.0,A,2013-2014
Crystal Palace,Tottenham Hotspur,0.0,1.0,A,2013-2014
Chelsea,Hull City,2.0,0.0,H,2013-2014
Manchester City,Newcastle United,4.0,0.0,H,2013-2014
Chelsea,Aston Villa,2.0,1.0,H,2013-2014
Fulham,Arsenal,1.0,3.0,A,2013-2014
Everton,West Bromwich Albion,0.0,0.0,D,2013-2014
Hull City,Norwich City,1.0,0.0,H,2013-2014
Newcastle United,West Ham United,0.0,0.0,D,2013-2014
Southampton,Sunderland,1.0,1.0,D,2013-2014
Stoke City,Crystal Palace,2.0,1.0,H,2013-2014
Aston Villa,Liverpool,0.0,1.0,A,2013-2014
Cardiff City,Manchester City,3.0,2.0,H,2013-2014
Tottenham Hotspur,Swansea City,1.0,0.0,H,2013-2014
Manchester United,Chelsea,0.0,0.0,D,2013-2014
Manchester City,Hull City,2.0,0.0,H,2013-2014
Cardiff City,Everton,0.0,0.0,D,2013-2014
Newcastle United,Fulham,1.0,0.0,H,2013-2014
Norwich City,Southampton,1.0,0.0,H,2013-2014
West Ham United,Stoke City,0.0,1.0,A,2013-2014
Crystal Palace,Sunderland,3.0,1.0,H,2013-2014
Liverpool,Manchester United,1.0,0.0,H,2013-2014
West Bromwich Albion,Swansea City,0.0,2.0,A,2013-2014
Arsenal,Tottenham Hotspur,1.0,0.0,H,2013-2014
Manchester United,Crystal Palace,2.0,0.0,H,2013-2014
Aston Villa,Newcastle United,1.0,2.0,A,2013-2014
Fulham,West Bromwich Albion,1.0,1.0,D,2013-2014
Hull City,Cardiff City,1.0,1.0,D,2013-2014
Stoke City,Manchester City,0.0,0.0,D,2013-2014
Sunderland,Arsenal,1.0,3.0,A,2013-2014
Tottenham Hotspur,Norwich City,2.0,0.0,H,2013-2014
Everton,Chelsea,1.0,0.0,H,2013-2014
Southampton,West Ham United,0.0,0.0,D,2013-2014
Swansea City,Liverpool,2.0,2.0,D,2013-2014
Norwich City,Aston Villa,0.0,1.0,A,2013-2014
Liverpool,Southampton,0.0,1.0,A,2013-2014
Newcastle United,Hull City,2.0,3.0,A,2013-2014
West Bromwich Albion,Sunderland,3.0,0.0,H,2013-2014
West Ham United,Everton,2.0,3.0,A,2013-2014
Chelsea,Fulham,2.0,0.0,H,2013-2014
Arsenal,Stoke City,3.0,1.0,H,2013-2014
Crystal Palace,Swansea City,0.0,2.0,A,2013-2014
Cardiff City,Tottenham Hotspur,0.0,1.0,A,2013-2014
Manchester City,Manchester United,4.0,1.0,H,2013-2014
Tottenham Hotspur,Chelsea,1.0,1.0,D,2013-2014
Aston Villa,Manchester City,3.0,2.0,H,2013-2014
Fulham,Cardiff City,1.0,2.0,A,2013-2014
Hull City,West Ham United,1.0,0.0,H,2013-2014
Manchester United,West Bromwich Albion,1.0,2.0,A,2013-2014
Southampton,Crystal Palace,2.0,0.0,H,2013-2014
Swansea City,Arsenal,1.0,2.0,A,2013-2014
Stoke City,Norwich City,0.0,1.0,A,2013-2014
Sunderland,Liverpool,1.0,3.0,A,2013-2014
Everton,Newcastle United,3.0,2.0,H,2013-2014
Manchester City,Everton,3.0,1.0,H,2013-2014
Cardiff City,Newcastle United,1.0,2.0,A,2013-2014
Fulham,Stoke City,1.0,0.0,H,2013-2014
Hull City,Aston Villa,0.0,0.0,D,2013-2014
Liverpool,Crystal Palace,3.0,1.0,H,2013-2014
Sunderland,Manchester United,1.0,2.0,A,2013-2014
Norwich City,Chelsea,1.0,3.0,A,2013-2014
Southampton,Swansea City,2.0,0.0,H,2013-2014
Tottenham Hotspur,West Ham United,0.0,3.0,A,2013-2014
West Bromwich Albion,Arsenal,1.0,1.0,D,2013-2014
Newcastle United,Liverpool,2.0,2.0,D,2013-2014
Arsenal,Norwich City,4.0,1.0,H,2013-2014
Chelsea,Cardiff City,4.0,1.0,H,2013-2014
Everton,Hull City,2.0,1.0,H,2013-2014
Manchester United,Southampton,1.0,1.0,D,2013-2014
Stoke City,West Bromwich Albion,0.0,0.0,D,2013-2014
Swansea City,Sunderland,4.0,0.0,H,2013-2014
West Ham United,Manchester City,1.0,3.0,A,2013-2014
Aston Villa,Tottenham Hotspur,0.0,2.0,A,2013-2014
Crystal Palace,Fulham,1.0,4.0,A,2013-2014
Crystal Palace,Arsenal,0.0,2.0,A,2013-2014
Aston Villa,Everton,0.0,2.0,A,2013-2014
Liverpool,West Bromwich Albion,4.0,1.0,H,2013-2014
Manchester United,Stoke City,3.0,2.0,H,2013-2014
Norwich City,Cardiff City,0.0,0.0,D,2013-2014
Southampton,Fulham,2.0,0.0,H,2013-2014
Sunderland,Newcastle United,2.0,1.0,H,2013-2014
Chelsea,Manchester City,2.0,1.0,H,2013-2014
Swansea City,West Ham United,0.0,0.0,D,2013-2014
Tottenham Hotspur,Hull City,1.0,0.0,H,2013-2014
Newcastle United,Chelsea,2.0,0.0,H,2013-2014
Fulham,Manchester United,1.0,3.0,A,2013-2014
Hull City,Sunderland,1.0,0.0,H,2013-2014
Manchester City,Norwich City,7.0,0.0,H,2013-2014
Stoke City,Southampton,1.0,1.0,D,2013-2014
West Bromwich Albion,Crystal Palace,2.0,0.0,H,2013-2014
West Ham United,Aston Villa,0.0,0.0,D,2013-2014
Arsenal,Liverpool,2.0,0.0,H,2013-2014
Everton,Tottenham Hotspur,0.0,0.0,D,2013-2014
Cardiff City,Swansea City,1.0,0.0,H,2013-2014
Aston Villa,Cardiff City,2.0,0.0,H,2013-2014
Chelsea,West Bromwich Albion,2.0,2.0,D,2013-2014
Crystal Palace,Everton,0.0,0.0,D,2013-2014
Liverpool,Fulham,4.0,0.0,H,2013-2014
Southampton,Hull City,4.0,1.0,H,2013-2014
Norwich City,West Ham United,3.0,1.0,H,2013-2014
Tottenham Hotspur,Newcastle United,0.0,1.0,A,2013-2014
Sunderland,Manchester City,1.0,0.0,H,2013-2014
Manchester United,Arsenal,1.0,0.0,H,2013-2014
Swansea City,Stoke City,3.0,3.0,D,2013-2014
Everton,Liverpool,3.0,3.0,D,2013-2014
Arsenal,Southampton,2.0,0.0,H,2013-2014
Fulham,Swansea City,1.0,2.0,A,2013-2014
Hull City,Crystal Palace,0.0,1.0,A,2013-2014
Newcastle United,Norwich City,2.0,1.0,H,2013-2014
Stoke City,Sunderland,2.0,0.0,H,2013-2014
West Ham United,Chelsea,0.0,3.0,A,2013-2014
Manchester City,Tottenham Hotspur,6.0,0.0,H,2013-2014
Cardiff City,Manchester United,2.0,2.0,D,2013-2014
West Bromwich Albion,Aston Villa,2.0,2.0,D,2013-2014
Aston Villa,Sunderland,0.0,0.0,D,2013-2014
Cardiff City,Arsenal,0.0,3.0,A,2013-2014
Everton,Stoke City,4.0,0.0,H,2013-2014
Norwich City,Crystal Palace,1.0,0.0,H,2013-2014
West Ham United,Fulham,3.0,0.0,H,2013-2014
Newcastle United,West Bromwich Albion,2.0,1.0,H,2013-2014
Tottenham Hotspur,Manchester United,2.0,2.0,D,2013-2014
Hull City,Liverpool,3.0,1.0,H,2013-2014
Chelsea,Southampton,3.0,1.0,H,2013-2014
Manchester City,Swansea City,3.0,0.0,H,2013-2014
Crystal Palace,West Ham United,1.0,0.0,H,2013-2014
Arsenal,Hull City,2.0,0.0,H,2013-2014
Liverpool,Norwich City,5.0,1.0,H,2013-2014
Manchester United,Everton,0.0,1.0,A,2013-2014
Southampton,Aston Villa,2.0,3.0,A,2013-2014
Stoke City,Cardiff City,0.0,0.0,D,2013-2014
Sunderland,Chelsea,3.0,4.0,A,2013-2014
Swansea City,Newcastle United,3.0,0.0,H,2013-2014
Fulham,Tottenham Hotspur,1.0,2.0,A,2013-2014
West Bromwich Albion,Manchester City,2.0,3.0,A,2013-2014
Manchester United,Newcastle United,0.0,1.0,A,2013-2014
Crystal Palace,Cardiff City,2.0,0.0,H,2013-2014
